ID,Title,Difficulty,Leetcode Question Link,Tags
736,Parse Lisp Expression,Hard, https://leetcode.com/problems/parse-lisp-expression, "Hash Table, Stack, Recursion"
362,Design Hit Counter,Medium, https://leetcode.com/problems/design-hit-counter, "Array, Queue, Design"
230,Kth Smallest Element in a BST,Medium, https://leetcode.com/problems/kth-smallest-element-in-a-bst, "Tree, Depth-First Search, Binary Search Tree"
127,Word Ladder,Medium, https://leetcode.com/problems/word-ladder, "Hash Table, Breadth-First Search"
755,Pour Water,Medium, https://leetcode.com/problems/pour-water, "Array, Simulation"
1166,Design File System,Medium, https://leetcode.com/problems/design-file-system, "Design, Trie, Hash Table"
336,Palindrome Pairs,Hard, https://leetcode.com/problems/palindrome-pairs, "Array, Hash Table, String, Trie"
166,Fraction to Recurring Decimal,Medium, https://leetcode.com/problems/fraction-to-recurring-decimal, "Hash Table, Math"
773,Sliding Puzzle,Hard, https://leetcode.com/problems/sliding-puzzle, "Breadth-First Search, Array, Matrix"
864,Shortest Path to Get All Keys,Hard, https://leetcode.com/problems/shortest-path-to-get-all-keys, "Breadth-First Search, Bit Manipulation"
787,Cheapest Flights Within K Stops,Medium, https://leetcode.com/problems/cheapest-flights-within-k-stops, "Dynamic Programming, Graph, Shortest Path"
269,Alien Dictionary,Hard, https://leetcode.com/problems/alien-dictionary, "Graph, Topological Sort"
251,Flatten 2D Vector,Medium, https://leetcode.com/problems/flatten-2d-vector, "Design, Array, Two Pointers, Iterator"
1257,Smallest Common Region,Medium, https://leetcode.com/problems/smallest-common-region, "Tree, Depth-First Search"
68,Text Justification,Hard, https://leetcode.com/problems/text-justification, "Array, String, Simulation"
1235,Maximum Profit in Job Scheduling,Hard, https://leetcode.com/problems/maximum-profit-in-job-scheduling, "Dynamic Programming, Binary Search, Sorting"
39,Combination Sum,Medium, https://leetcode.com/problems/combination-sum, "Array, Backtracking"
324,Wiggle Sort II,Medium, https://leetcode.com/problems/wiggle-sort-ii, "Array, Sort, Quickselect"
759,Employee Free Time,Hard, https://leetcode.com/problems/employee-free-time, "Array, Sorting, Heap (Priority Queue)"
280,Wiggle Sort,Medium, https://leetcode.com/problems/wiggle-sort, "Array, Greedy, Sorting"
341,Flatten Nested List Iterator,Medium, https://leetcode.com/problems/flatten-nested-list-iterator, "Stack, Design"
751,IP to CIDR,Medium, https://leetcode.com/problems/ip-to-cidr, "Math, Bit Manipulation"
